roman_urdu,urdu
isne mujhe call nahi kiya,اس نے مجھے کال نہیں کیا
isne kya kiya hai phir se,اس نے کیا کیا ہے پھر سے
isne pehle bhi aisa kiya tha,اس نے پہلے بھی ایسا کیا تھا
isne bata diya sab ko,اس نے بتا دیا سب کو
isne message kyun nahi diya,اس نے میسج کیوں نہیں دیا
isne meri baat nahi mani,اس نے میری بات نہیں مانی
isne kaam waqt pe nahi kiya,اس نے کام وقت پے نہیں کیا
isne sach bola ya jhooth,اس نے سچ بولا یا جھوٹ
isne dobara galti ki,اس نے دوبارہ غلطی کی
isne kyun chhupaaya mujh se,اس نے کیوں چھپایا مجھ سے
humne pehle baat ki thi is baare mein,ہم نے پہلے بات کی تھی اس بارے میں
humne mil ke yeh kaam kiya,ہم نے مل کے یہ کام کیا
humne socha nahi tha aisa hoga,ہم نے سوچا نہیں تھا ایسا ہوگا
humne order kar diya hai,ہم نے آرڈر کر دیا ہے
humne plan change kar liya,ہم نے پلان چینج کر لیا
humne usse nahi bulaya tha,ہم نے اسے نہیں بلایا تھا
humne sab theek kar liya,ہم نے سب ٹھیک کر لیا
humne ek saath khana khaya,ہم نے ایک ساتھ کھانا کھایا
humne woh movie nahi dekhi,ہم نے وہ موویز نہیں دیکھی
humne bahut mehnat ki thi,ہم نے بہت محنت کی تھی
tumne yeh kyun kiya,تم نے یہ کیوں کیا
tumne bola tha na aana hai,تم نے بولا تھا نا آنا ہے
tumne message dekha nahi kya,تم نے میسج دیکھا نہیں کیا
tumne sahi kaha,تم نے صحیح کہا
tumne usse kyun bataya,تم نے اسے کیوں بتایا
tumne kaam khatam kiya kya,تم نے کام ختم کیا کیا
tumne mujhe call nahi ki,تم نے مجھے کال نہیں کی
tumne acha kiya tha jo ruk gaye,تم نے اچھا کیا تھا جو رک گئے
tumne woh wala kaam kiya tha jo kaha tha,تم نے وہ والا کام کیا تھا جو کہا تھا
tumne mere baare mein kya socha,تم نے میرے بارے میں کیا سوچا
unhone kuch nahi kaha,انہوں نے کچھ نہیں کہا
unhone mujhe dara diya,انہوں نے مجھے ڈرا دیا
unhone yeh sab plan kiya tha,انہوں نے یہ سب پلان کیا تھا
unhone call ki thi subah,انہوں نے کال کی تھی صبح
unhone maafi maangi,انہوں نے معافی مانگی
unhone poora kaam kar diya,انہوں نے پورا کام کر دیا
unhone message nahi kiya abhi tak,انہوں نے میسج نہیں کیا ابھی تک
unhone nahi aana tha phir bhi aa gaye,انہوں نے نہیں آنا تھا پھر بھی آ گئے
unhone sab ko bata diya,انہوں نے سب کو بتا دیا
unhone project delete kar diya,انہوں نے پروجیکٹ ڈیلیٹ کر دیا
kaisi lag rahi hai ab,کیسی لگ رہی ہے اب
kaisi hai teri tabiyat,کیسی ہے تیری طبیعت
kaisi rahi meeting aaj,کیسی رہی میٹنگ آج
yeh kaisi baat hai,یہ کیسی بات ہے
kaisi performance di usne,کیسی پرفارمنس دی اس نے
kaisi lagi movie tumhe,کیسی لگی موویز تمہیں
kaisi hai zindagi aaj kal,کیسی ہے زندگی آج کل
kaisi situation hai wahan,کیسی سچویشن ہے وہاں
kaise ho yaar,کیسے ہو یار
kaise kar liya tune yeh,کیسے کر لیا تو نے یہ
kaise pata chala tujhe,کیسے پتہ چلا تجھے
kaise chalega yeh kaam,کیسے چلے گا یہ کام
kaise jaoge wahan,کیسے جاؤ گے وہاں
kaise hua yeh sab,کیسے ہوا یہ سب
kaise manage karta hai tu,کیسے مینیج کرتا ہے تو
kaise ban gayi itni jaldi,کیسے بن گئی اتنی جلدی
kaisa laga kal ka exam,کیسا لگا کل کا ایگزام
kaisa chal raha hai kaam,کیسا چل رہا ہے کام
kaisa tha woh banda,کیسا تھا وہ بندہ
kaisa scene hai wahan aaj kal,کیسا سین ہے وہاں آج کل
kaisa raha interview tera,کیسا رہا انٹرویو تیرا
kaisa phone liya hai tune,کیسا فون لیا ہے تو نے
kaisa mausam hai kal se,کیسا موسم ہے کل سے
kaisa lagta hai tujhe yahan,کیسا لگتا ہے تجھے یہاں
waisay tune khaana khaya kya,ویسے تو نے کھانا کھایا کیا
waisay mujhe pata tha yahi hoga,ویسے مجھے پتہ تھا یہی ہوگا
waisay koi zaroorat nahi thi,ویسے کوئی ضرورت نہیں تھی
waisay kya plan hai kal ka,ویسے کیا پلان ہے کل کا
waisay usne sahi kaha tha,ویسے اس نے صحیح کہا تھا
waisay mujhe bhi wahi lagta hai,ویسے مجھے بھی وہی لگتا ہے
waisay yeh app bahut useful hai,ویسے یہ ایپ بہت یوزفل ہے
waisay kal meeting cancel ho gayi,ویسے کل میٹنگ کینسل ہو گئی
usne bola nahi tha tab bhi sab ko pata tha,اس نے بولا نہیں تھا تب بھی سب کو پتہ تھا
tab bhi main nahi mana tha,تب بھی میں نہیں مانا تھا
woh tab bhi yahi karta tha,وہ تب بھی یہی کرتا تھا
tab bhi usne maafi nahi maangi,تب بھی اس نے معافی نہیں مانگی
tab bhi message nahi kiya,تب بھی میسج نہیں کیا
pehle bhi bura tha tab bhi kuch nahi bola,پہلے بھی برا تھا تب بھی کچھ نہیں بولا
tab bhi signal nahi aata tha,تب بھی سگنل نہیں آتا تھا
kuch nahi badla tab bhi wahi kaam,کچھ نہیں بدلا تب بھی وہی کام
ab bhi wahi problem hai,اب بھی وہی پرابلم ہے
ab bhi message nahi kiya usne,اب بھی میسج نہیں کیا اس نے
ab bhi soch raha hun kya karna hai,اب بھی سوچ رہا ہوں کیا کرنا ہے
ab bhi wifi nahi chal raha,اب بھی وائی فائی نہیں چل رہا
ab bhi usi se baat karta hai,اب بھی اسی سے بات کرتا ہے
ab bhi pehle wali app use karta hun,اب بھی پہلے والی ایپ یوز کرتا ہوں
ab bhi thak jaata hun jaldi,اب بھی تھک جاتا ہوں جلدی
ab bhi phone slow hai update ke baad,اب بھی فون سلو ہے اپڈیٹ کے بعد
main gym ja raha hun,میں جم جا رہا ہوں
main abhi ja raha hun wapas,میں ابھی جا رہا ہوں واپس
main office ja raha hun subah se,میں آفس جا رہا ہوں صبح سے
main bahar ja raha hun kuch kaam hai,میں باہر جا رہا ہوں کچھ کام ہے
main wahan ja raha hun kal,میں وہاں جا رہا ہوں کل
kahan ja raha hun pata nahi,کہاں جا رہا ہوں پتہ نہیں
main jaldi ja raha hun wait mat karo,میں جلدی جا رہا ہوں ویٹ مت کرو
main us se milne ja raha hun,میں اس سے ملنے جا رہا ہوں
main aa raha hun das minute mein,میں آ رہا ہوں دس منٹ میں
main wahan aa raha hun abhi,میں وہاں آ رہا ہوں ابھی
